,pokemon,hp,atk,def,spa,spd,spe,gender,type,level,ability,item,teratype,hitsPhysical,hitsSpecial,basePower,hasPriority,hasSTAB,hasCoverage,hitsPivot,hitsSetUp,hitsHazards,hasRemoval,hasKnockOff,hasStatus,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,hp_iv,atk_iv,def_iv,spa_iv,spd_iv,spe_iv,nature,format
10,Gholdengo,2,1,2,3,2,1,0,1357,0,292,59,5,0,1,3,0,1,1,0,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,Uber
11,Gholdengo,2,1,2,3,2,1,0,1357,0,292,10,16,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,Uber
12,Wo-Chien,2,1,2,2,3,1,0,87,0,311,203,13,1,0,1,1,1,0,0,0,0,0,1,1,3,0,0,0,2,1,3,3,3,3,3,3,5,NU
13,Wo-Chien,2,1,2,2,3,1,0,87,0,311,203,13,1,1,0,1,1,0,0,0,0,0,1,1,3,0,0,0,3,0,3,3,3,3,3,3,5,AG
14,Wo-Chien,2,1,2,2,3,1,0,87,0,311,203,13,1,0,1,1,1,0,0,0,0,0,1,1,3,0,0,0,3,0,3,3,3,3,3,3,5,RU
15,Wo-Chien,2,1,2,2,3,1,0,87,0,311,203,13,1,1,0,1,1,0,0,0,0,0,1,1,3,0,3,0,0,0,3,3,3,3,3,3,10,PU
16,Wo-Chien,2,1,2,2,3,1,0,87,0,311,171,13,1,0,1,0,1,0,0,0,0,0,1,1,3,0,3,0,0,0,3,3,3,3,3,3,10,PU
17,Chien-Pao,2,2,1,2,1,3,0,111,0,310,207,1,1,0,1,1,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
18,Chien-Pao,2,2,1,2,1,3,0,111,0,310,58,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
19,Ting-Lu,3,2,3,1,1,1,0,93,0,151,203,18,1,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,5,OU
20,Ting-Lu,3,2,3,1,1,1,0,93,0,151,203,18,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,5,OU
21,Ting-Lu,3,2,3,1,1,1,0,93,0,151,203,9,1,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,5,AG
22,Ting-Lu,3,2,3,1,1,1,0,93,0,151,203,16,1,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,5,Uber
23,Chi-Yu,1,1,1,3,3,2,0,51,0,282,60,6,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,15,Uber
24,Chi-Yu,1,1,1,3,3,2,0,51,0,282,59,6,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,15,Uber
25,Chi-Yu,1,1,1,3,3,2,0,51,0,282,207,6,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,15,Uber
26,Roaring Moon,3,3,1,1,2,3,0,15,0,302,39,7,1,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,0,Uber
27,Roaring Moon,3,3,1,1,2,3,0,15,0,302,58,1,1,0,2,0,1,1,1,0,0,0,0,0,0,2,0,0,1,3,3,3,3,3,3,3,11,Uber
28,Iron Valiant,1,3,2,3,1,3,0,143,0,304,39,16,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,3,0,3,3,3,3,3,3,3,16,OU
29,Iron Valiant,1,3,2,3,1,3,0,143,0,304,39,8,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
30,Iron Valiant,1,3,2,3,1,3,0,143,0,304,39,1,1,0,2,0,1,0,0,1,0,0,1,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
31,Iron Valiant,1,3,2,3,1,3,0,143,0,304,60,4,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
32,Koraidon,2,3,3,1,2,3,0,65,0,300,59,8,1,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
33,Koraidon,2,3,3,1,2,3,0,65,0,300,210,6,1,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
34,Koraidon,2,3,3,1,2,3,0,65,0,300,207,6,1,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
35,Koraidon,2,3,3,1,2,3,0,65,0,300,171,6,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
36,Koraidon,2,3,3,1,2,3,0,65,0,300,59,8,1,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,0,AG
37,Koraidon,2,3,3,1,2,3,0,65,0,300,210,8,1,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,AG
38,Koraidon,2,3,3,1,2,3,0,65,0,300,210,16,1,0,0,0,1,1,0,1,0,0,0,1,2,3,0,0,0,2,3,3,3,3,3,3,0,AG
39,Miraidon,2,1,2,3,3,3,0,35,0,294,171,4,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,AG
40,Miraidon,2,1,2,3,3,3,0,35,0,294,60,2,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,AG
41,Miraidon,2,1,2,3,3,3,0,35,0,294,207,9,0,1,3,0,1,1,0,1,0,0,0,1,2,0,0,3,0,1,3,3,3,3,3,3,15,AG
42,Walking Wake,2,1,2,3,1,2,0,335,0,302,60,18,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,3,3,3,3,3,3,3,24,OU
43,Walking Wake,2,1,2,3,1,2,0,335,0,302,171,4,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
44,Walking Wake,2,1,2,3,1,2,0,335,0,302,60,18,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,15,Uber
45,Electrode-Hisui,1,1,1,1,1,3,0,203,0,2,171,6,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,24,PU
46,Iron Leaves,2,3,1,1,2,2,0,1363,0,304,39,14,1,0,2,0,1,1,0,1,0,0,0,1,1,2,0,0,0,3,3,3,3,3,3,3,11,UU
47,Dipplin,2,1,2,2,1,1,0,145,0,140,109,13,1,1,1,0,1,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,3,21,ZU
48,Sinistcha,1,1,2,3,1,1,0,667,0,42,203,13,0,1,1,0,1,0,0,1,0,0,0,1,3,0,2,0,0,1,3,0,3,3,3,3,2,UU
49,Sinistcha,1,1,2,3,1,1,0,667,0,42,171,13,0,1,1,0,1,0,0,1,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,3,2,OU
50,Sinistcha-Masterpiece,1,1,2,3,1,1,0,667,0,42,203,13,0,1,1,0,1,0,0,1,0,0,0,1,3,0,2,0,0,1,3,0,3,3,3,3,2,UU
51,Okidogi,2,3,3,1,2,1,0,559,0,94,18,18,1,0,2,0,1,1,0,0,0,0,1,0,2,3,0,0,0,1,3,3,3,3,3,3,0,OU
52,Okidogi,2,3,3,1,2,1,0,559,0,293,203,18,1,0,1,0,1,1,0,1,0,0,1,1,3,0,0,0,2,1,3,3,3,3,3,3,5,OU
53,Munkidori,2,1,1,3,2,2,0,2021,0,94,59,13,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,NU
54,Munkidori,2,1,1,3,2,2,0,2021,0,94,171,5,0,1,3,0,1,1,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,NU
55,Munkidori,2,1,1,3,2,2,2,2021,0,94,171,9,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,24,RU
56,Munkidori,2,1,1,3,2,2,2,2021,0,94,59,13,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,24,RU
57,Fezandipiti,2,1,1,1,3,2,0,473,0,94,171,18,1,1,0,0,0,1,1,0,0,0,0,1,3,0,2,0,1,0,3,3,3,3,3,3,2,UU
58,Fezandipiti,2,1,1,1,3,2,0,473,0,94,171,1,1,0,0,0,1,0,1,0,0,0,0,1,3,2,0,0,1,1,3,3,3,3,3,3,5,OU
59,Ogerpon,2,2,1,1,2,3,1,841,0,22,171,9,1,0,1,0,1,0,1,0,0,0,1,1,0,3,0,0,0,3,3,3,3,3,3,3,11,UU
60,Ogerpon,2,2,1,1,2,3,1,841,0,22,58,9,1,0,2,0,1,1,1,0,0,0,1,0,0,3,0,0,0,3,3,3,3,3,3,3,11,UU
61,Ogerpon,2,2,1,1,2,3,1,841,0,22,171,9,1,0,1,0,1,0,1,0,0,0,1,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
62,Ogerpon,2,2,1,1,2,3,1,841,0,22,58,9,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
63,Ogerpon-Cornerstone,2,2,1,1,2,3,0,1537,0,142,67,15,1,0,1,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
64,Ogerpon-Cornerstone,2,2,1,1,2,3,1,1537,0,142,67,15,1,0,2,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,UU
65,Ogerpon-Cornerstone,2,2,1,1,2,3,0,1537,0,142,67,15,1,0,3,0,1,1,0,0,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,UU
66,Ogerpon-Hearthflame,2,2,1,1,2,3,0,493,0,77,168,6,1,0,2,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,Uber
67,Ogerpon-Wellspring,2,2,1,1,2,3,1,1943,0,170,514,18,1,0,1,0,1,0,1,0,1,0,1,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
68,Ogerpon-Wellspring,2,2,1,1,2,3,0,1943,0,170,514,18,1,0,3,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
69,Ogerpon-Wellspring,2,2,1,1,2,3,0,1943,0,170,514,18,1,0,2,0,1,1,0,0,0,0,1,0,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
70,Hydrapple,3,1,2,3,1,1,0,145,0,109,171,4,0,1,2,0,1,1,0,1,0,0,0,1,3,0,0,2,1,1,3,0,3,3,3,3,15,UU
71,Hydrapple,3,1,2,3,1,1,0,145,0,109,171,16,0,1,2,0,1,1,0,1,0,0,0,1,3,0,3,0,0,0,3,0,3,3,3,3,2,UU
72,Hydrapple,3,1,2,3,1,1,0,145,0,109,60,16,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,15,UU
73,Hydrapple,3,1,2,3,1,1,0,145,0,109,171,4,0,1,2,0,1,1,0,1,0,0,0,1,3,0,3,0,0,1,3,0,3,3,3,3,2,OU
74,Raging Bolt,3,1,2,3,2,1,0,35,0,302,39,4,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,1,3,3,3,3,15,OU
75,Raging Bolt,3,1,2,3,2,1,0,35,0,302,60,4,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,3,0,3,3,1,3,3,3,3,15,OU
76,Raging Bolt,3,1,2,3,2,1,0,35,0,302,171,4,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,3,3,1,3,3,3,3,15,OU
77,Iron Boulder,2,2,1,1,2,3,0,2491,0,304,39,5,1,0,3,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
78,Iron Crown,2,1,2,3,2,2,0,2773,0,304,60,16,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
79,Iron Crown,2,1,2,3,2,2,0,2773,0,304,18,5,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,3,0,3,3,1,3,3,3,3,24,OU
80,Iron Crown,2,1,2,3,2,2,0,2773,0,304,39,5,0,1,2,0,1,1,0,1,0,0,0,1,1,0,0,2,0,3,3,1,3,3,3,3,24,OU
81,Terapagos,2,1,1,1,1,1,0,1681,0,312,171,17,1,0,0,0,1,0,0,0,1,1,0,1,3,0,3,0,0,0,3,3,3,3,3,3,10,Uber
82,Pecharunt,2,1,3,1,2,1,0,989,0,301,171,1,1,1,2,0,1,1,0,0,0,0,0,1,3,0,2,0,0,1,3,0,3,3,3,3,2,OU
83,Pecharunt,2,1,3,1,2,1,0,989,0,301,171,8,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
84,Exeggutor-Alola,2,2,1,3,1,1,0,145,0,37,60,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,15,ZU
85,Exeggutor-Alola,2,2,1,3,1,1,0,145,0,37,102,2,0,1,2,0,1,1,0,0,0,0,0,1,3,0,0,3,0,0,3,0,3,3,3,0,18,ZU
86,Exeggutor-Alola,2,2,1,3,1,1,0,145,0,37,102,16,1,1,2,0,1,1,0,0,0,0,1,0,3,0,0,3,0,0,3,3,3,3,3,3,15,ZU
87,Exeggutor-Alola,2,2,1,3,1,1,0,145,0,37,60,16,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,15,PU
88,Exeggutor-Alola,2,2,1,3,1,1,0,145,0,37,102,16,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,15,PU
89,Hitmonlee,1,2,1,0,3,1,0,169,0,165,304,1,1,0,2,0,1,1,0,1,0,0,1,1,0,3,0,0,0,3,3,3,3,3,3,3,0,PU
90,Hitmonlee,1,2,1,0,3,1,0,169,0,165,155,1,1,0,2,0,1,1,0,1,0,0,1,1,0,3,0,0,0,3,3,3,3,3,3,3,0,NU
91,Hitmonchan,1,2,1,0,3,1,0,169,0,60,171,1,1,0,0,1,1,0,0,0,0,1,1,0,3,1,0,0,2,0,3,3,3,3,3,3,0,ZU
92,Weezing,1,1,3,1,1,1,0,1849,0,65,328,16,0,1,2,0,1,0,0,0,0,0,0,1,3,0,3,0,0,0,3,0,3,3,3,3,2,ZU
93,Weezing,1,1,3,1,1,1,0,1849,0,65,328,16,0,1,2,0,1,1,0,0,0,0,0,1,3,0,2,0,0,1,3,3,3,3,3,3,2,NU
94,Weezing-Galar,1,1,3,1,1,1,0,473,0,264,171,7,0,1,2,0,1,0,0,0,0,1,0,1,3,0,3,0,0,0,3,3,3,3,3,3,2,OU
95,Rhydon,3,3,3,1,1,1,0,1643,0,67,109,13,1,0,2,0,1,0,0,1,1,0,0,1,3,1,0,0,2,1,3,3,3,3,3,3,0,PU
96,Rhydon,3,3,3,1,1,1,0,1643,0,67,109,13,1,0,2,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,PU
97,Chansey,3,0,0,0,2,1,0,1681,0,85,109,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,2,0,3,0,3,3,3,3,2,RU
98,Chansey,3,0,0,0,2,1,0,1681,0,85,109,8,1,0,0,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,3,0,3,3,3,3,2,OU
99,Scyther,1,2,1,1,1,2,0,38,0,149,109,3,1,0,1,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,NU
100,Scyther,1,2,1,1,1,2,0,38,0,149,171,3,1,0,1,0,1,1,1,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,NU
101,Tauros,1,2,2,1,1,3,0,1681,0,123,207,1,1,0,2,0,1,1,0,0,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,ZU
102,Tauros-Paldea-Aqua,1,2,2,0,1,2,0,871,0,58,58,18,1,0,2,1,1,1,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,11,NU
103,Tauros-Paldea-Aqua,1,2,2,0,1,2,0,871,0,58,203,16,1,0,2,1,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,NU
104,Tauros-Paldea-Blaze,1,2,2,0,1,2,0,221,0,58,203,9,1,0,2,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,PU
105,Tauros-Paldea-Blaze,1,2,2,0,1,2,0,221,0,58,59,5,1,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,11,PU
106,Tauros-Paldea-Blaze,1,2,2,0,1,2,0,221,0,58,203,9,1,0,2,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,NU
107,Tauros-Paldea-Blaze,1,2,2,0,1,2,0,221,0,58,58,5,1,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,11,NU
108,Gyarados,2,3,1,1,2,1,0,1273,0,81,203,2,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,0,UU
109,Lapras,3,1,1,1,2,1,0,2479,0,170,171,4,0,1,2,0,1,1,0,0,0,0,0,0,0,0,2,3,0,1,3,0,3,3,3,3,15,ZU
110,Vaporeon,3,1,1,2,2,1,0,4489,0,170,203,13,1,1,1,1,1,0,1,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,3,2,NU
111,Vaporeon,3,1,1,2,2,1,0,4489,0,170,203,13,0,1,1,1,1,0,0,0,0,0,0,1,3,0,3,0,0,0,3,0,3,3,3,3,2,RU
112,Jolteon,1,1,1,2,2,3,0,49,0,169,171,4,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,ZU
113,Jolteon,1,1,1,2,2,3,0,49,0,169,60,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,ZU
114,Jolteon,1,1,1,2,2,3,0,49,0,169,171,4,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,24,PU
115,Snorlax,3,2,1,1,3,0,0,1681,0,155,203,4,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,5,ZU
116,Snorlax,3,2,1,1,3,0,0,1681,0,155,203,4,1,0,2,0,1,1,0,0,0,0,0,1,1,0,2,0,3,0,3,3,3,3,3,3,5,NU
117,Snorlax,3,2,1,1,3,0,0,1681,0,155,203,4,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,3,0,3,3,3,3,3,3,5,PU
118,Articuno,2,1,2,2,3,1,0,703,0,102,171,2,1,1,1,0,1,0,1,0,0,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,4,ZU
119,Articuno-Galar,2,1,1,3,2,2,0,893,0,187,171,16,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,NU
120,Articuno-Galar,2,1,1,3,2,2,0,893,0,187,171,4,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,NU
121,Articuno-Galar,2,1,1,3,2,2,0,893,0,187,171,16,0,1,2,0,1,0,0,1,0,0,0,1,3,0,0,0,0,3,3,3,3,3,3,3,24,PU
122,Articuno-Galar,2,1,1,3,2,2,0,893,0,187,171,16,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,PU
123,Zapdos,2,1,1,3,2,2,0,133,0,137,171,16,0,1,2,0,1,0,1,0,0,0,0,1,3,0,3,0,0,0,3,0,3,3,3,3,2,OU
124,Zapdos,2,1,1,3,2,2,0,133,0,137,171,6,0,1,2,0,1,1,1,0,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,24,OU
125,Zapdos-Galar,2,3,2,1,2,2,0,247,0,22,59,5,1,0,2,0,1,0,1,0,0,0,1,0,0,3,0,0,0,3,3,3,3,3,3,3,11,UU
126,Moltres,2,2,2,3,1,2,0,323,0,30,171,4,1,1,1,0,1,0,1,0,0,0,0,1,3,0,3,0,0,1,3,3,3,3,3,3,2,OU
127,Moltres-Galar,2,1,2,2,3,2,0,57,0,183,356,8,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,15,OU
128,Dragonite,2,3,2,2,2,1,0,95,0,82,171,12,1,0,2,1,0,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,0,OU
129,Dragonite,2,3,2,2,2,1,0,95,0,82,171,7,1,1,2,0,0,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,OU
130,Dragonite,2,3,2,2,2,1,0,95,0,82,210,6,1,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,0,OU
131,Dragonite,2,3,2,2,2,1,0,95,0,82,171,12,1,0,1,1,1,1,0,0,0,0,0,1,3,2,0,0,0,1,3,3,3,3,3,3,0,OU
132,Dragonite,2,3,2,2,2,1,0,95,0,82,58,12,1,0,2,1,1,1,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,3,3,0,OU
133,Mewtwo,3,2,2,3,2,3,0,2209,0,102,171,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,Uber
134,Mewtwo,3,2,2,3,2,3,0,2209,0,102,60,6,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,24,Uber
135,Mew,2,2,2,2,2,2,0,2209,0,147,328,5,1,1,1,0,1,1,1,0,1,0,0,1,2,0,3,0,0,1,3,3,3,3,3,3,2,RU
136,Mew,2,2,2,2,2,2,0,2209,0,147,318,8,0,1,2,0,0,1,0,0,1,0,0,1,3,0,1,0,0,2,3,0,3,3,3,3,24,UU
137,Typhlosion,1,1,1,2,1,2,0,289,0,32,60,6,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,24,ZU
138,Typhlosion,1,1,1,2,1,2,0,289,0,32,59,6,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,24,ZU
139,Typhlosion-Hisui,1,1,1,2,1,2,0,391,0,11,171,6,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,3,24,PU
140,Typhlosion-Hisui,1,1,1,2,1,2,0,391,0,11,59,6,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,PU
141,Typhlosion-Hisui,1,1,1,2,1,2,0,391,0,11,171,4,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,PU
142,Typhlosion-Hisui,1,1,1,2,1,2,0,391,0,37,171,5,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,NU
143,Typhlosion-Hisui,1,1,1,2,1,2,0,391,0,37,59,6,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,NU
144,Feraligatr,2,2,2,1,1,1,0,4489,0,123,207,1,1,0,1,1,1,1,0,1,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,11,RU
145,Lanturn,3,1,1,1,1,1,0,469,0,169,171,2,0,1,1,0,1,0,1,0,0,0,0,1,3,0,0,0,3,0,3,3,3,3,3,3,4,ZU
146,Azumarill,2,1,1,1,1,1,0,737,0,45,356,16,1,0,1,1,1,0,0,0,0,0,0,1,0,3,0,0,0,3,3,3,3,3,3,3,0,UU
147,Politoed,2,1,1,2,2,1,0,4489,0,24,74,9,0,1,2,0,1,1,0,0,0,0,0,1,3,0,0,0,2,2,3,3,3,3,3,3,4,UU
148,Politoed,2,1,1,2,2,1,0,4489,0,24,74,8,0,1,1,0,1,1,0,0,0,0,0,1,3,0,1,0,0,2,3,0,3,3,3,3,24,RU
149,Quagsire,2,1,1,1,1,1,0,2077,0,164,171,13,1,0,2,0,1,0,0,0,1,0,0,1,3,0,3,0,0,0,3,3,3,3,3,3,10,RU
150,Quagsire,2,1,1,1,1,1,0,2077,0,164,203,4,1,0,2,0,1,0,0,0,1,0,0,1,3,0,3,0,0,0,3,3,3,3,3,3,10,OU
151,Quagsire,2,1,1,1,1,1,0,2077,0,164,171,4,1,0,2,0,1,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,3,10,UU
152,Espeon,1,1,1,3,2,3,0,2209,0,70,155,4,0,1,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,3,3,3,3,3,3,3,24,PU
153,Espeon,1,1,1,3,2,3,0,2209,0,70,203,16,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,PU
154,Espeon,1,1,1,3,2,3,0,2209,0,70,207,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,24,PU
